case_id,radar_site,tracklet_id,n_points,overlap_duration_min,mean_distance_to_corridor_km,max_distance_to_corridor_km,median_altitude_difference_m,max_altitude_difference_m,speed_consistency_ratio,continues_after_telemetry,telemetry_match_label,notes
k7uaz_20260322,KEMX,KEMX_T008,6,35.2,3.74,6.04,28.6,247.5,0.94,False,telemetry_consistent_candidate,"Match: med_v=29m, mean_corridor=3.7km"
k7uaz_20260322,KEMX,KEMX_T003,6,35.2,3.82,6.46,28.6,204.0,0.94,False,telemetry_consistent_candidate,"Match: med_v=29m, mean_corridor=3.8km"
k7uaz_20260322,KEMX,KEMX_T007,8,63.6,4.1,6.54,38.7,464.5,1.45,False,telemetry_consistent_candidate,"Match: med_v=39m, mean_corridor=4.1km"
k7uaz_20260322,KEMX,KEMX_T004,7,56.5,5.01,12.17,46.2,464.5,1.09,False,telemetry_consistent_candidate,"Match: med_v=46m, mean_corridor=5.0km"
k7uaz_20260322,KEMX,KEMX_T010,6,35.2,5.82,12.9,63.8,211.5,1.6,False,telemetry_consistent_candidate,"Match: med_v=64m, mean_corridor=5.8km"
k7uaz_20260322,KEMX,KEMX_T001,6,35.2,3.91,6.46,73.3,204.0,1.3,False,telemetry_consistent_candidate,"Match: med_v=73m, mean_corridor=3.9km"
k7uaz_20260322,KIWA,KIWA_T004,7,56.9,9.44,17.44,78.2,334.8,1.09,False,telemetry_consistent_candidate,"Match: med_v=78m, mean_corridor=9.4km"
k7uaz_20260322,KEMX,KEMX_T006,6,35.2,6.84,10.85,88.5,239.0,1.3,False,telemetry_consistent_candidate,"Match: med_v=88m, mean_corridor=6.8km"
k7uaz_20260322,KEMX,KEMX_T002,6,35.2,4.26,6.46,93.0,204.0,1.02,False,telemetry_consistent_candidate,"Match: med_v=93m, mean_corridor=4.3km"
k7uaz_20260322,KEMX,KEMX_T005,6,35.2,4.05,6.46,93.3,204.0,1.02,False,telemetry_consistent_candidate,"Match: med_v=93m, mean_corridor=4.1km"
k7uaz_20260322,KEMX,KEMX_T009,6,35.2,4.06,6.46,112.8,247.5,1.02,False,telemetry_consistent_candidate,"Match: med_v=113m, mean_corridor=4.1km"
k7uaz_20260322,KIWA,KIWA_T006,6,35.6,4.41,13.33,125.8,510.5,0.97,False,telemetry_consistent_candidate,"Match: med_v=126m, mean_corridor=4.4km"
k7uaz_20260322,KIWA,KIWA_T007,7,49.8,7.29,24.23,147.6,510.5,1.06,False,telemetry_consistent_candidate,"Match: med_v=148m, mean_corridor=7.3km"
k7uaz_20260322,KIWA,KIWA_T008,7,49.8,8.78,24.23,147.6,453.0,1.3,False,telemetry_consistent_candidate,"Match: med_v=148m, mean_corridor=8.8km"
k7uaz_20260322,KIWA,KIWA_T001,6,35.6,4.46,13.52,176.3,510.5,0.73,False,telemetry_consistent_candidate,"Match: med_v=176m, mean_corridor=4.5km"
k7uaz_20260322,KIWA,KIWA_T002,6,35.6,6.19,13.52,176.3,453.0,1.56,False,telemetry_consistent_candidate,"Match: med_v=176m, mean_corridor=6.2km"
k7uaz_20260322,KIWA,KIWA_T005,6,35.6,6.14,13.33,176.3,453.0,1.45,False,telemetry_consistent_candidate,"Match: med_v=176m, mean_corridor=6.1km"
k7uaz_20260322,KIWA,KIWA_T009,6,35.6,6.19,13.33,177.2,453.0,1.56,False,telemetry_consistent_candidate,"Match: med_v=177m, mean_corridor=6.2km"
k7uaz_20260322,KIWA,KIWA_T003,6,35.6,4.46,13.33,177.2,510.5,0.97,False,telemetry_consistent_candidate,"Match: med_v=177m, mean_corridor=4.5km"
k7uaz_20260322,KIWA,KIWA_T010,7,49.8,7.28,24.23,183.9,536.5,1.03,False,telemetry_consistent_candidate,"Match: med_v=184m, mean_corridor=7.3km"
