siting_rank,tracklet_id,radar_site,n_points,start_time_utc,end_time_utc,duration_min,median_alt_mismatch_m,mean_corridor_km,spaghetti_score,speed_ratio,cross_radar_score,factor_altitude,factor_horizontal,factor_smoothness,factor_speed,factor_cross_radar,factor_duration,identification_score,identification_tier
1,KEMX_T004,KEMX,7,2026-03-22T19:53:25Z,2026-03-22T20:49:55Z,56.5,46.2,5.01,146.14,1.09,1.0,1.0,0.9086,0.6411,0.775,1.0,0.8071,0.8666,high_confidence_siting
2,KEMX_T005,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,93.3,4.05,121.34,1.02,0.5,0.9038,0.9523,0.7444,0.95,0.5,0.5029,0.8079,high_confidence_siting
3,KEMX_T008,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,28.6,3.74,149.58,0.94,0.5,1.0,0.9664,0.6267,0.85,0.5,0.5029,0.7963,high_confidence_siting
4,KIWA_T004,KIWA,7,2026-03-22T19:26:39Z,2026-03-22T20:23:34Z,56.9,78.2,9.44,75.93,1.09,0.5,0.9373,0.7073,0.9336,0.775,0.5,0.8129,0.7944,high_confidence_siting
5,KIWA_T003,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,177.2,4.46,176.49,0.97,1.0,0.7173,0.9336,0.5146,0.925,1.0,0.5086,0.7832,high_confidence_siting
6,KEMX_T003,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,28.6,3.82,170.9,0.94,0.5,1.0,0.9627,0.5379,0.85,0.5,0.5029,0.7778,high_confidence_siting
7,KEMX_T009,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,112.8,4.06,144.36,1.02,0.5,0.8604,0.9518,0.6485,0.95,0.5,0.5029,0.7778,high_confidence_siting
8,KEMX_T002,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,93.0,4.26,163.05,1.02,0.5,0.9044,0.9427,0.5706,0.95,0.5,0.5029,0.7714,high_confidence_siting
9,KIWA_T006,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,125.8,4.41,178.66,0.97,0.5,0.8316,0.9359,0.5056,0.925,0.5,0.5086,0.7354,moderate_confidence_siting
10,KEMX_T006,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,88.5,6.84,64.62,1.3,0.5,0.9144,0.8255,0.9808,0.25,0.5,0.5029,0.7275,moderate_confidence_siting
11,KIWA_T010,KIWA,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,183.9,7.28,138.96,1.03,0.5,0.7024,0.8055,0.671,0.925,0.5,0.7114,0.7202,moderate_confidence_siting
12,KEMX_T010,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,63.8,5.82,77.44,1.6,0.5,0.9693,0.8718,0.9273,0.0,0.5,0.5029,0.7023,moderate_confidence_siting
13,KEMX_T001,KEMX,6,2026-03-22T19:53:25Z,2026-03-22T20:28:40Z,35.2,73.3,3.91,142.88,1.3,0.5,0.9482,0.9586,0.6547,0.25,0.5,0.5029,0.6974,moderate_confidence_siting
14,KEMX_T007,KEMX,8,2026-03-22T19:53:25Z,2026-03-22T20:57:01Z,63.6,38.7,4.1,144.05,1.45,0.5,1.0,0.95,0.6498,0.0,0.5,0.9086,0.6904,moderate_confidence_siting
15,KIWA_T001,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,4.46,191.38,0.73,1.0,0.7193,0.9336,0.4526,0.325,1.0,0.5086,0.6813,moderate_confidence_siting
16,KIWA_T007,KIWA,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,147.6,7.29,201.67,1.06,0.5,0.7831,0.805,0.4097,0.85,0.5,0.7114,0.6768,moderate_confidence_siting
17,KIWA_T009,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,177.2,6.19,163.92,1.56,1.0,0.7173,0.855,0.567,0.0,1.0,0.5086,0.6392,moderate_confidence_siting
18,KIWA_T002,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,6.19,165.31,1.56,1.0,0.7193,0.855,0.5612,0.0,1.0,0.5086,0.6385,moderate_confidence_siting
19,KIWA_T008,KIWA,7,2026-03-22T19:26:39Z,2026-03-22T20:16:28Z,49.8,147.6,8.78,193.12,1.3,0.5,0.7831,0.7373,0.4453,0.25,0.5,0.7114,0.5804,moderate_confidence_siting
20,KIWA_T005,KIWA,6,2026-03-22T19:26:39Z,2026-03-22T20:02:14Z,35.6,176.3,6.14,165.9,1.45,0.5,0.7193,0.8573,0.5587,0.0,0.5,0.5086,0.5635,moderate_confidence_siting
