#,Local Time,Grid,Track Attachment,Lat (°),Lon (°),Altitude (km),Vertical Speed (m/min),Speed (km/h),Computed Speed (km/h),Voltage (V),Temperature (°C),Sun Elevation (°),# RX Reports,Average RX Frequency (Hz),Max RX Distance (km),Max SNR (dB)
1,2026-03-22 12:18,DM42mg,1,32.27,-110.96,2.34,,19,,3.60,21,58,2,95,26,16
2,2026-03-22 12:28,DM42ng,1,32.27,-110.88,2.88,54,37,,3.70,16,58,2,95,28,10
3,2026-03-22 12:38,DM42oh,1,32.31,-110.79,3.66,78,48,,3.70,11,58,1,164,29,26
4,2026-03-22 12:48,DM42pi,1,32.35,-110.71,4.28,62,30,,3.80,6,58,1,164,32,23
5,2026-03-22 14:18,DM42uh,1,32.31,-110.29,11.28,78,33,31,4.05,-21,49,3,173,625,16
6,2026-03-22 14:28,DM42vh,1,32.31,-110.21,11.44,16,37,,4.15,-18,48,3,173,633,14
7,2026-03-22 14:38,DM42wg,1,32.27,-110.13,11.74,30,41,,3.90,-22,46,4,174,641,12
8,2026-03-22 14:48,DM42wg,1,32.27,-110.13,11.74,0,41,,4.00,-19,44,4,175,12185,11
9,2026-03-22 14:58,DM42xg,1,32.27,-110.04,11.78,4,41,,4.05,-23,43,3,173,649,6
10,2026-03-22 15:08,DM52ag,1,32.27,-109.96,11.76,-2,41,,3.85,-22,41,4,174,12886,9
11,2026-03-22 15:18,DM52bf,1,32.23,-109.88,12.00,24,37,40,4.10,-25,39,4,177,12891,9
12,2026-03-22 15:28,DM52cf,1,32.23,-109.79,11.78,-22,37,,4.00,-28,37,3,175,12213,7
