review_rank,item_type,item_id,radar_sites,tracklet_ids,family_ids,review_priority_score,review_reason,plot_path
1,cross_radar_association,A001,KEMX;KIWA,KEMX_T004;KIWA_T001,KEMX_F001;KIWA_F001,0.8597,"strong_cross_radar_candidate with 8.8 min overlap, 9.8 km median horizontal separation, 144 m median altitude separation (16 raw association variants in this family pair)",plots/review_rank_01_A001.png
2,cross_radar_association,A007,KEMX;KIWA,KEMX_T003;KIWA_T001,KEMX_F002;KIWA_F001,0.822,"moderate_cross_radar_candidate with 8.8 min overlap, 15.1 km median horizontal separation, 92 m median altitude separation (56 raw association variants in this family pair)",plots/review_rank_02_A007.png
3,cross_radar_association,A012,KEMX;KIWA,KEMX_T004;KIWA_T007,KEMX_F001;KIWA_F002,0.8195,"moderate_cross_radar_candidate with 23.1 min overlap, 15.9 km median horizontal separation, 87 m median altitude separation (4 raw association variants in this family pair)",plots/review_rank_03_A012.png
4,cross_radar_association,A051,KEMX;KIWA,KEMX_T005;KIWA_T007,KEMX_F002;KIWA_F002,0.7949,"moderate_cross_radar_candidate with 23.1 min overlap, 14.8 km median horizontal separation, 223 m median altitude separation (14 raw association variants in this family pair)",plots/review_rank_04_A051.png
5,cross_radar_association,A078,KEMX;KIWA,KEMX_T006;KIWA_T001,KEMX_F003;KIWA_F001,0.7803,"moderate_cross_radar_candidate with 8.8 min overlap, 16.9 km median horizontal separation, 233 m median altitude separation (8 raw association variants in this family pair)",plots/review_rank_05_A078.png
6,cross_radar_association,A098,KEMX;KIWA,KEMX_T006;KIWA_T007,KEMX_F003;KIWA_F002,0.7502,"moderate_cross_radar_candidate with 23.1 min overlap, 22.0 km median horizontal separation, 164 m median altitude separation (2 raw association variants in this family pair)",plots/review_rank_06_A098.png
7,tracklet_family,KIWA_F001,KIWA,KIWA_T004,KIWA_F001,0.7977,"excellent_plausible_tracklet representative; 78 m median vertical mismatch, 9.4 km mean corridor distance",plots/review_rank_07_KIWA_F001.png
8,tracklet_family,KEMX_F001,KEMX,KEMX_T007,KEMX_F001,0.7862,"excellent_plausible_tracklet representative; 39 m median vertical mismatch, 4.1 km mean corridor distance",plots/review_rank_08_KEMX_F001.png
9,tracklet_family,KEMX_F002,KEMX,KEMX_T010,KEMX_F002,0.7135,"excellent_plausible_tracklet representative; 64 m median vertical mismatch, 5.8 km mean corridor distance",plots/review_rank_09_KEMX_F002.png
10,tracklet_family,KEMX_F003,KEMX,KEMX_T006,KEMX_F003,0.7031,"excellent_plausible_tracklet representative; 88 m median vertical mismatch, 6.8 km mean corridor distance",plots/review_rank_10_KEMX_F003.png
11,tracklet_family,KIWA_F002,KIWA,KIWA_T008,KIWA_F002,0.6929,"excellent_plausible_tracklet representative; 148 m median vertical mismatch, 8.8 km mean corridor distance",nan
